Review_English,Negative_Reason
"The tank lid broke, and I haven't been able to find a replacement. Please help me, thank you so much!",Service
I didn't even try it; I reached into the box and cut myself. The delivery person was careless; they just dropped it off and left.,Service
"It is separated from the wall, not suitable for an eccentric base, and there is little space between the toilet and the floor.",Toilet
"The available space to tighten the bolts does not allow for a flush installation against the wall. This is because the lower curve is poorly designed and very narrow (compared to another model from a competitor), which means you have to keep the back of the pond about 5 cm away from the wall. This is impractical—everything you place there falls over—and unappealing, as it looks like an island. Due to the limited space, you can't tighten it properly, so it will end up loose. We wasted a lot of time on the project, trying different types of tools (and money on the work) until we decided to replace it because what is very difficult to secure will be impossible to remove if the bolts rust later.",Service
"I bought 2 Fusion Corona toilets online. They arrived in poor condition with defects. I went through the entire process for review and warranty. They didn't resolve the issue; I've been waiting for 15 days, and yesterday they told me the case was closed. I'm still stuck with toilets that have defects in the ceramic, and the lids do not close smoothly.",Service
"Recently, I bought a Sevilla toilet from Corona. When it was installed, it emitted a bad sewer smell during use. I had the installer check it, and he confirmed it was properly sealed. Upon inspection, he noticed that there were two holes inside the toilet that were allowing the odors to escape. I contacted Corona, and the technician informed me that these were manufacturing holes and suggested I cover them with tape to stop the smell, which indeed worked. However, I was disappointed that for a toilet at this price, they didn't include two factory plugs to prevent this issue.",Service
"The product arrived with an imperfection on the lid. It doesn't affect its functionality, but it doesn't look good aesthetically. It's something that is not noticeable at first glance, which is why I didn't detect it on the day of delivery. My recommendation is to check everything very carefully when the order arrives. I also do not recommend the installation service through Home Center; it takes a long time after the product arrives. I had to cancel it and request a refund, then hire the service through another provider. If you need it urgently, as I did, this is not a viable option.",Service
"I realized that I needed a toilet in a different color. With the bonus, I bought another model, but they sent it in the wrong color.",Toilet
"Review: When the water doesn't come with pressure, using the toilet is impossible, which means the bathroom is practically unusable. This is something that should be explained at the time of sale. It's the most expensive bathroom, but this makes it the worst.",Service
"I have three Prestige toilets, and it's hard to find replacement parts for them.",Service
"Review: When the tank is emptied, it continues to leak water through a valve at the bottom. Since there is no drainage to the bowl, over time it accumulates, and I have to remove it in buckets every eight days, or else it will start to rot.",Service
"Review: For such an expensive toilet, the quality of the flushing components should be better. The tank cracks and feels like it’s going to burst from the pressure, which could be deadly for my family. It’s acceptable for dynamic parts to need replacement after a few years, but it’s not right that a plastic tank, which takes ages to decompose in nature, gets damaged in just a few years in a bathroom.",Service
"I bought the toilet, and the lid came warped; it sits unevenly after installation.",Service
"I requested a white one, but they sent me a beige one again.",Toilet
"The specifications said it had a slow closure, but that's a lie.",Toilet
"The product never arrived. I bought it a month ago, and it never showed up, not even an apology. Terrible service.",Service
"A good product, good price, but very delayed deliveries.",Service
"Review: THEY NEVER DELIVERED THE PRODUCT, THEY DON'T RESPOND, AND THEY DON'T REFUND THE MONEY - Terrible customer service, I do not recommend it at all.",Service
"This toilet is like one for kids; every time I use it, it gets clogged. It only works for my nephew. I'm really frustrated because I can't use it properly. I don't know if it has a very low capacity.",Toilet
"I bought 6 last year. Three of them have already broken. When I called for warranty service after the first one broke, they said it had been installed incorrectly. I made the changes they required, but nothing improved. Later, they admitted it was a problem with the toilet, opened it up, and confirmed that the damage was due to the product. Now I have to call about the other two.",Service
What kind of photo is this? It's unclear what they are selling.,Toilet
"I bought a toilet and it came with this valve already installed, and since we put it in, it doesn't seal; the tank never stops filling.",Service
"Review: Since it was installed, it keeps getting clogged; the drain is very narrow in its curves. Terrible product.",Service
The bathroom came broken and you don't respond. Poor quality items.,Service
"I bought this product two years ago, and now I realize that it remains covered not due to improper use, but because it is of very poor quality. The external sanitary porcelain has broken, and there are leaks to the outside. I disassembled and reassembled it to see if that was the issue, but it wasn't. Terrible quality.",Service
"Review: When pressing the buttons to drain, the system does not completely remove all the solids or liquids. You have to keep the button pressed for an extended period until the water pressure flushes out the liquids or solids.",Toilet
"The water escape is permanent, and the entrance tree is defective.",Toilet
"The order arrived incorrectly; I didn't receive the item I was supposed to get, they made a mistake.",Service
"The worst investment I've made. Since I bought it, I've had issues with it. I do not recommend it. It's the worst they have.",Toilet
"I bought this product last month, it was installed, and it turned out to be defective. The pump is damaged, I requested a warranty, and I'm still waiting for them to call me to schedule the evaluation appointment, but nothing has happened.",Service
"The product meets the technical specifications, although I found the packaging to be weak for such a heavy item, which could jeopardize its integrity.",Toilet
"I bought this product and the springs broke; it's poor quality. It's a hassle to keep buying this, and it's quite expensive.",Service
"It comes with a filling pump, which is not available at Grival stores or Home Center. Also, the warranty customer service takes a long time.",Service
"I bought a solar toilet, supposedly the latest in waste disposal, and it only gets clogged. I'm really frustrated with this purchase, especially after paying such a high price.",Service
"We do not recommend it. We bought three toilets because the seller claimed it was the best in terms of flushing, design, and hidden siphon—basically, the number one. What a surprise, the flushing is not great, and the worst part is the shape. The seat needs to be cleaned constantly because something is not working properly, and the lid, which I believe is called a ""cake lid,"" stays splattered. It needs to be cleaned several times a day; otherwise, it becomes a complete mess. We are very disappointed; it was the worst purchase we made during our home renovation. I DO NOT RECOMMEND it; what a disaster.",Service
The faucet is of poor quality. It is not the same model of faucet that is sold separately. Sometimes it doesn't even fill the tank.,Toilet
I bought this toilet for water-saving purposes. I didn't think that would be inversely proportional to the comfort of sitting there and not being able to lean my back; the design of the lid makes it impossible.,Toilet
