SKU,Product Name,Category,Author,Stars,Subject,Reviews,Review_English,Date,MarketPlace,Sentiment_GPT,YearMonth,Negative_Reason,Positive_Reason,Neutral_Reason
101651001,Sanitario Power One Blanco,Toilets,María Félix,5,Muy cómodo,"Cómodo, ahorrador de agua y bonito diseño. Buena inversión","Comfortable, water-saving, and has a nice design. A good investment.",2022-05-01,HomeCenter,Positive,2022-05,,Toilet,
101651001,Sanitario Power One Blanco,Toilets,Jorge Rhenals,5,Espectacular producto.,Compré hace unas semanas el producto y me fascinó.,I bought the product a few weeks ago and I loved it.,2022-07-16,HomeCenter,Positive,2022-07,,General,
101651001,Sanitario Power One Blanco,Toilets,,5,Excelente,"Es un sanitario fuerte, muy econòmico en cuanto al gasto de agua y funciona muy bien.","It's a strong toilet, very economical in terms of water usage, and it works very well.",2022-11-12,HomeCenter,Positive,2022-11,,General,
101651001,Sanitario Power One Blanco,Toilets,Goyoroa,5,Excelente y práctico producto.,Compré ese producto hace apenas 15 días pero me ha salido muy bueno...,"I bought this product just 15 days ago, but it has turned out to be very good.",2023-05-06,HomeCenter,Positive,2023-05,,General,
101651001,Sanitario Power One Blanco,Toilets,Anonymous [anonymous],5,Lo altura de la taza,Tiene una capacidad de descarga efiiente,It has an efficient discharge capacity.,2023-07-23,Corona,Positive,2023-07,,General,
121361001,Sanitario San Giorgio Alongado Blanco,Toilets,Pablo,5,Muy bueno.,"Me atrevería a decir que de lo mejor que hay en relación precio calidad, y además de una marca con trayectoria en el área.","I would dare to say that this is one of the best options in terms of price and quality, and it's from a brand with a solid reputation in the field.",2019-05-15,HomeCenter,Positive,2019-05,,Toilet,
121361001,Sanitario San Giorgio Alongado Blanco,Toilets,Metrick,5,Buen producto,Buen producto fácil instalación! Solo se necesitó comprar adicional flexible y adaptador de descarga a piso,"Great product, easy to install! I only needed to buy a flexible hose and a floor drain adapter additionally.",2019-05-24,HomeCenter,Positive,2019-05,,General,
121361001,Sanitario San Giorgio Alongado Blanco,Toilets,Apolo,1,Bueno,"Lo único malo es que el kit recomendado tenia un extensible no compatible con el wc. (Se uso un adaptador, y quedo muy bien).","The only downside is that the recommended kit had an extension that was not compatible with the toilet. (An adapter was used, and it turned out very well).",2019-05-25,HomeCenter,Neutral,2019-05,,,Other
121361001,Sanitario San Giorgio Alongado Blanco,Toilets,Angel,5,WC es muy bueno,Muy fácil la instalación cumple con mi necesidad bueno,"Very easy to install, it meets my needs well.",2019-05-25,HomeCenter,Positive,2019-05,,General,
121361001,Sanitario San Giorgio Alongado Blanco,Toilets,cristian,5,escelente,"escelente wc.one piece. cambie mi baño,por el modelo ,tiene bonita presentacion",Excellent one-piece toilet. I changed my bathroom for this model; it has a nice appearance.,2019-07-09,HomeCenter,Positive,2019-07,,General,
